@relation extracted_sessions
@attribute duration integer
@attribute requests_count integer
@attribute average_request_duration real
@attribute /ksc.html {True, False}
@attribute / {True, False}
@attribute /shuttle/countdown/ {True, False}
@attribute /shuttle/missions/missions.html {True, False}
@attribute /shuttle/missions/sts-69/mission-sts-69.html {True, False}
@attribute /htbin/cdt_main.pl {True, False}
@attribute /finance/main.htm {True, False}
@attribute /shuttle/countdown/liftoff.html {True, False}
@attribute /history/history.html {True, False}
@attribute /history/apollo/apollo.html {True, False}
@attribute /history/apollo/apollo-13/apollo-13.html {True, False}
@attribute /shuttle/missions/sts-70/mission-sts-70.html {True, False}
@attribute /shuttle/missions/sts-71/mission-sts-71.html {True, False}
@attribute /shuttle/missions/sts-71/images/images.html {True, False}
@attribute /shuttle/technology/sts-newsref/stsref-toc.html {True, False}
@attribute /htbin/cdt_clock.pl {True, False}
@attribute /shuttle/countdown/countdown.html {True, False}
@attribute /facilities/lc39a.html {True, False}
@attribute /shuttle/missions/sts-70/images/images.html {True, False}
@attribute /history/apollo/apollo-13/apollo-13-info.html {True, False}
@attribute /procurement/procurement.html {True, False}
@attribute /shuttle/missions/sts-71/movies/movies.html {True, False}
@attribute /shuttle/technology/sts-newsref/sts_asm.html {True, False}
@attribute /history/apollo/apollo-11/apollo-11.html {True, False}
@attribute /facts/faq04.html {True, False}
@attribute /htbin/wais.pl {True, False}
@attribute /shuttle/missions/sts-70/movies/movies.html {True, False}
@attribute /images/ {True, False}
@attribute /shuttle/resources/orbiters/endeavour.html {True, False}
@attribute /shuttle/missions/sts-73/mission-sts-73.html {True, False}
@attribute /whats-new.html {True, False}
@attribute /software/winvn/winvn.html {True, False}
@attribute /facilities/tour.html {True, False}
@attribute /elv/elvpage.htm {True, False}
@attribute /shuttle/missions/sts-69/images/images.html {True, False}
@attribute /shuttle/countdown/lps/fr.html {True, False}
@data
352,3,176.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
909,4,303.0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82,2,82.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
119,3,59.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,3,39.0,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
584,4,194.66666666666666,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
184,4,61.333333333333336,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,3,6.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
766,7,127.66666666666667,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
638,10,70.88888888888889,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,2,71.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
