@relation extracted_sessions_numeric
@attribute duration integer
@attribute requests_count integer
@attribute average_request_duration real
@data
352,3,176.0
909,4,303.0
82,2,82.0
119,3,59.5
78,3,39.0
584,4,194.66666666666666
184,4,61.333333333333336
12,3,6.0
766,7,127.66666666666667
638,10,70.88888888888889
71,2,71.0
213,5,53.25
92,4,30.666666666666668
21,2,21.0
65,2,65.0
1025,4,341.6666666666667
157,4,52.333333333333336
187,4,62.333333333333336
108,2,108.0
663,11,66.3
407,6,81.4
107,4,35.666666666666664
82,4,27.333333333333332
1767,10,196.33333333333334
679,6,135.8
630,6,126.0
204,5,51.0
309,5,77.25
89,2,89.0
551,3,275.5
112,5,28.0
160,6,32.0
48,3,24.0
57,3,28.5
392,3,196.0
20,2,20.0
27,2,27.0
572,5,143.0
120,5,30.0
231,3,115.5
406,3,203.0
558,8,79.71428571428571
1603,11,160.3
82,3,41.0
268,2,268.0
260,5,65.0
347,3,173.5
21,2,21.0
63,2,63.0
26,2,26.0
1494,15,106.71428571428571
32,2,32.0
288,7,48.0
227,5,56.75
149,5,37.25
43,3,21.5
85,3,42.5
629,8,89.85714285714286
18,2,18.0
63,4,21.0
13,2,13.0
183,5,45.75
1487,9,185.875
487,3,243.5
14,2,14.0
49,2,49.0
197,5,49.25
78,4,26.0
24,4,8.0
29,3,14.5
297,6,59.4
47,2,47.0
66,4,22.0
279,3,139.5
138,3,69.0
9,2,9.0
495,4,165.0
140,3,70.0
12,2,12.0
371,4,123.66666666666667
107,6,21.4
78,2,78.0
68,2,68.0
74,5,18.5
1683,12,153.0
58,3,29.0
524,12,47.63636363636363
270,6,54.0
84,3,42.0
255,2,255.0
416,5,104.0
387,5,96.75
456,6,91.2
205,4,68.33333333333333
104,2,104.0
788,3,394.0
692,14,53.23076923076923
182,6,36.4
306,5,76.5
53,3,26.5
38,3,19.0
456,3,228.0
180,2,180.0
1211,22,57.666666666666664
54,3,27.0
391,2,391.0
139,2,139.0
145,2,145.0
17,2,17.0
101,2,101.0
279,4,93.0
158,2,158.0
62,3,31.0
132,4,44.0
158,6,31.6
1721,8,245.85714285714286
122,2,122.0
1500,15,107.14285714285714
145,2,145.0
369,5,92.25
113,3,56.5
154,8,22.0
30,3,15.0
130,2,130.0
554,2,554.0
40,2,40.0
178,3,89.0
395,3,197.5
113,3,56.5
20,2,20.0
411,4,137.0
643,8,91.85714285714286
53,3,26.5
80,3,40.0
9,2,9.0
69,2,69.0
5,2,5.0
82,4,27.333333333333332
22,2,22.0
282,5,70.5
102,2,102.0
221,6,44.2
577,4,192.33333333333334
165,4,55.0
25,3,12.5
60,4,20.0
49,4,16.333333333333332
46,5,11.5
34,5,8.5
60,3,30.0
60,3,30.0
366,8,52.285714285714285
76,2,76.0
15,2,15.0
794,16,52.93333333333333
745,4,248.33333333333334
107,5,26.75
649,5,162.25
421,6,84.2
684,7,114.0
93,3,46.5
64,2,64.0
924,12,84.0
466,6,93.2
153,4,51.0
60,2,60.0
229,3,114.5
312,5,78.0
81,3,40.5
23,2,23.0
174,3,87.0
589,18,34.64705882352941
255,2,255.0
656,9,82.0
632,3,316.0
260,3,130.0
832,8,118.85714285714286
46,4,15.333333333333334
51,4,17.0
688,16,45.86666666666667
1405,25,58.541666666666664
514,6,102.8
121,3,60.5
67,2,67.0
908,7,151.33333333333334
85,4,28.333333333333332
64,2,64.0
3064,38,82.8108108108108
239,7,39.833333333333336
109,4,36.333333333333336
121,3,60.5
220,2,220.0
477,6,95.4
1232,8,176.0
1131,9,141.375
3367,25,140.29166666666666
32,3,16.0
542,3,271.0
752,3,376.0
298,6,59.6
471,3,235.5
446,5,111.5
579,9,72.375
39,4,13.0
70,2,70.0
467,6,93.4
191,2,191.0
244,3,122.0
71,2,71.0
203,3,101.5
39,4,13.0
28,3,14.0
210,5,52.5
693,7,115.5
889,9,111.125
351,8,50.142857142857146
219,4,73.0
357,7,59.5
1202,12,109.27272727272727
619,8,88.42857142857143
122,3,61.0
172,3,86.0
585,3,292.5
38,2,38.0
87,2,87.0
577,4,192.33333333333334
33,2,33.0
748,6,149.6
32,2,32.0
365,5,91.25
240,6,48.0
382,3,191.0
16,2,16.0
179,3,89.5
231,2,231.0
96,2,96.0
139,5,34.75
148,3,74.0
44,2,44.0
459,6,91.8
3720,19,206.66666666666666
117,6,23.4
1275,11,127.5
1005,16,67.0
63,3,31.5
362,4,120.66666666666667
270,4,90.0
696,6,139.2
1069,6,213.8
460,3,230.0
115,4,38.333333333333336
21,3,10.5
227,7,37.833333333333336
20,2,20.0
18,3,9.0
36,2,36.0
40,4,13.333333333333334
91,3,45.5
13,2,13.0
220,3,110.0
181,4,60.333333333333336
433,5,108.25
126,4,42.0
28,2,28.0
66,4,22.0
96,6,19.2
39,2,39.0
376,4,125.33333333333333
111,3,55.5
148,4,49.333333333333336
35,4,11.666666666666666
76,4,25.333333333333332
936,9,117.0
265,5,66.25
26,2,26.0
28,2,28.0
135,5,33.75
67,5,16.75
356,9,44.5
88,2,88.0
227,4,75.66666666666667
587,5,146.75
69,2,69.0
1049,9,131.125
377,5,94.25
792,7,132.0
46,3,23.0
155,5,38.75
44,2,44.0
323,2,323.0
62,2,62.0
33,3,16.5
16,3,8.0
2870,16,191.33333333333334
1240,9,155.0
370,3,185.0
268,3,134.0
609,3,304.5
138,3,69.0
47,2,47.0
86,4,28.666666666666668
108,7,18.0
167,3,83.5
75,3,37.5
77,3,38.5
1190,12,108.18181818181819
138,4,46.0
80,2,80.0
995,9,124.375
721,3,360.5
141,3,70.5
232,2,232.0
193,3,96.5
81,3,40.5
554,10,61.55555555555556
1812,22,86.28571428571429
494,4,164.66666666666666
380,2,380.0
414,2,414.0
1091,6,218.2
40,4,13.333333333333334
217,6,43.4
519,7,86.5
870,7,145.0
377,6,75.4
20,2,20.0
38,2,38.0
7,2,7.0
19,2,19.0
179,4,59.666666666666664
248,8,35.42857142857143
34,4,11.333333333333334
63,4,21.0
68,5,17.0
17,2,17.0
40,4,13.333333333333334
5,2,5.0
393,10,43.666666666666664
235,5,58.75
513,5,128.25
81,4,27.0
440,11,44.0
983,12,89.36363636363636
749,14,57.61538461538461
96,3,48.0
117,4,39.0
37,2,37.0
814,7,135.66666666666666
162,3,81.0
40,2,40.0
101,4,33.666666666666664
312,4,104.0
10,2,10.0
391,7,65.16666666666667
108,7,18.0
23,2,23.0
251,3,125.5
175,4,58.333333333333336
1266,13,105.5
69,4,23.0
727,7,121.16666666666667
426,4,142.0
130,4,43.333333333333336
632,3,316.0
292,3,146.0
683,5,170.75
280,3,140.0
252,2,252.0
474,8,67.71428571428571
49,2,49.0
401,2,401.0
1041,8,148.71428571428572
907,8,129.57142857142858
256,2,256.0
158,2,158.0
236,6,47.2
90,4,30.0
706,7,117.66666666666667
780,10,86.66666666666667
106,3,53.0
599,18,35.23529411764706
15,2,15.0
20,3,10.0
474,8,67.71428571428571
471,3,235.5
358,2,358.0
242,7,40.333333333333336
275,3,137.5
266,3,133.0
1369,16,91.26666666666667
169,4,56.333333333333336
90,3,45.0
461,9,57.625
52,4,17.333333333333332
649,10,72.11111111111111
20,2,20.0
116,2,116.0
137,8,19.571428571428573
943,9,117.875
398,6,79.6
122,3,61.0
216,6,43.2
275,2,275.0
1094,7,182.33333333333334
284,7,47.333333333333336
130,5,32.5
101,5,25.25
382,5,95.5
15,3,7.5
12,2,12.0
26,4,8.666666666666666
126,12,11.454545454545455
78,3,39.0
77,3,38.5
420,8,60.0
19,2,19.0
192,10,21.333333333333332
209,8,29.857142857142858
570,5,142.5
628,8,89.71428571428571
22,2,22.0
172,6,34.4
16,2,16.0
488,9,61.0
12,2,12.0
569,3,284.5
37,3,18.5
121,2,121.0
78,3,39.0
394,3,197.0
44,2,44.0
47,3,23.5
17,3,8.5
68,5,17.0
20,3,10.0
258,6,51.6
460,6,92.0
171,2,171.0
180,3,90.0
50,2,50.0
165,3,82.5
309,4,103.0
39,3,19.5
79,2,79.0
409,7,68.16666666666667
83,7,13.833333333333334
264,6,52.8
218,8,31.142857142857142
457,7,76.16666666666667
582,8,83.14285714285714
700,8,100.0
612,3,306.0
1245,11,124.5
247,5,61.75
195,5,48.75
42,3,21.0
1279,14,98.38461538461539
538,12,48.90909090909091
33,4,11.0
114,6,22.8
28,4,9.333333333333334
43,2,43.0
44,4,14.666666666666666
528,5,132.0
118,3,59.0
545,3,272.5
190,5,47.5
10,2,10.0
26,4,8.666666666666666
856,11,85.6
217,10,24.11111111111111
71,3,35.5
529,5,132.25
278,3,139.0
770,7,128.33333333333334
68,4,22.666666666666668
362,3,181.0
1238,7,206.33333333333334
538,5,134.5
2177,14,167.46153846153845
189,4,63.0
270,2,270.0
372,4,124.0
79,3,39.5
34,2,34.0
77,3,38.5
58,3,29.0
468,8,66.85714285714286
357,3,178.5
306,3,153.0
907,7,151.16666666666666
395,6,79.0
260,3,130.0
105,3,52.5
263,5,65.75
11,2,11.0
199,2,199.0
94,2,94.0
257,4,85.66666666666667
1065,4,355.0
26,2,26.0
111,3,55.5
155,4,51.666666666666664
78,4,26.0
70,5,17.5
453,5,113.25
255,6,51.0
338,3,169.0
322,6,64.4
159,3,79.5
332,10,36.888888888888886
140,3,70.0
199,4,66.33333333333333
556,15,39.714285714285715
97,6,19.4
38,2,38.0
301,7,50.166666666666664
31,2,31.0
62,3,31.0
776,7,129.33333333333334
603,7,100.5
74,4,24.666666666666668
83,4,27.666666666666668
471,2,471.0
158,3,79.0
48,4,16.0
155,9,19.375
460,4,153.33333333333334
93,4,31.0
123,4,41.0
91,4,30.333333333333332
179,6,35.8
49,3,24.5
5,2,5.0
5,2,5.0
6,2,6.0
4,2,4.0
4,2,4.0
11,2,11.0
150,5,37.5
4,2,4.0
5,2,5.0
5,2,5.0
48,4,16.0
7,2,7.0
4,2,4.0
5,2,5.0
5,2,5.0
5,2,5.0
6,2,6.0
501,3,250.5
237,14,18.23076923076923
52,2,52.0
82,2,82.0
103,3,51.5
23,2,23.0
866,11,86.6
110,4,36.666666666666664
388,7,64.66666666666667
419,7,69.83333333333333
189,7,31.5
255,5,63.75
225,2,225.0
49,3,24.5
17,2,17.0
434,9,54.25
52,3,26.0
107,3,53.5
632,4,210.66666666666666
61,3,30.5
862,9,107.75
790,9,98.75
79,4,26.333333333333332
9,2,9.0
41,4,13.666666666666666
93,3,46.5
18,2,18.0
745,10,82.77777777777777
447,2,447.0
29,2,29.0
61,2,61.0
17,3,8.5
130,3,65.0
15,2,15.0
240,9,30.0
16,2,16.0
20,3,10.0
30,2,30.0
14,2,14.0
250,5,62.5
737,12,67.0
137,3,68.5
262,6,52.4
138,3,69.0
364,5,91.0
264,5,66.0
98,5,24.5
247,3,123.5
961,5,240.25
285,4,95.0
531,12,48.27272727272727
48,3,24.0
68,5,17.0
571,8,81.57142857142857
1681,13,140.08333333333334
77,2,77.0
483,6,96.6
132,3,66.0
314,4,104.66666666666667
300,4,100.0
8,2,8.0
81,3,40.5
425,5,106.25
436,5,109.0
51,3,25.5
95,3,47.5
22,2,22.0
160,3,80.0
608,12,55.27272727272727
517,2,517.0
63,4,21.0
134,4,44.666666666666664
230,4,76.66666666666667
227,6,45.4
15,2,15.0
91,6,18.2
479,3,239.5
139,3,69.5
1084,10,120.44444444444444
507,11,50.7
674,7,112.33333333333333
382,4,127.33333333333333
28,2,28.0
367,7,61.166666666666664
185,3,92.5
166,3,83.0
26,2,26.0
8,3,4.0
